Date,HomeTeam,AwayTeam,FTHG,FTAG,Season,SeasonStart,ScoreDetail,Match
2025-12-20,HV 71,Djurgårdens IF,,,2025-26,2025,,HV 71 - Djurgårdens IF
2025-12-20,Örebro HK,Leksands IF,,,2025-26,2025,,Örebro HK - Leksands IF
2025-12-20,Skellefteå AIK,Linköping HC,,,2025-26,2025,,Skellefteå AIK - Linköping HC
2025-12-20,Växjö Lakers HC,Timrå IK,,,2025-26,2025,,Växjö Lakers HC - Timrå IK
2025-12-26,Färjestad BK,Linköping HC,,,2025-26,2025,,Färjestad BK - Linköping HC
2025-12-26,Örebro HK,HV 71,,,2025-26,2025,,Örebro HK - HV 71
2025-12-26,Växjö Lakers HC,IF Malmö Redhawks,,,2025-26,2025,,Växjö Lakers HC - IF Malmö Redhawks
2025-12-26,Luleå HF,Skellefteå AIK,,,2025-26,2025,,Luleå HF - Skellefteå AIK
2025-12-26,Djurgårdens IF,Leksands IF,,,2025-26,2025,,Djurgårdens IF - Leksands IF
2025-12-26,Rögle BK,Frölunda HC,,,2025-26,2025,,Rögle BK - Frölunda HC
2025-12-26,Timrå IK,Brynäs IF,,,2025-26,2025,,Timrå IK - Brynäs IF
2025-12-28,Leksands IF,Färjestad BK,,,2025-26,2025,,Leksands IF - Färjestad BK
2025-12-28,IF Malmö Redhawks,Frölunda HC,,,2025-26,2025,,IF Malmö Redhawks - Frölunda HC
2025-12-28,Rögle BK,HV 71,,,2025-26,2025,,Rögle BK - HV 71
2025-12-28,Brynäs IF,Örebro HK,,,2025-26,2025,,Brynäs IF - Örebro HK
2025-12-28,Linköping HC,Växjö Lakers HC,,,2025-26,2025,,Linköping HC - Växjö Lakers HC
2025-12-28,Luleå HF,Timrå IK,,,2025-26,2025,,Luleå HF - Timrå IK
2025-12-28,Skellefteå AIK,Djurgårdens IF,,,2025-26,2025,,Skellefteå AIK - Djurgårdens IF
2025-12-30,Frölunda HC,Färjestad BK,,,2025-26,2025,,Frölunda HC - Färjestad BK
2025-12-30,HV 71,IF Malmö Redhawks,,,2025-26,2025,,HV 71 - IF Malmö Redhawks
2025-12-30,Linköping HC,Örebro HK,,,2025-26,2025,,Linköping HC - Örebro HK
2025-12-30,Djurgårdens IF,Luleå HF,,,2025-26,2025,,Djurgårdens IF - Luleå HF
2025-12-30,Skellefteå AIK,Brynäs IF,,,2025-26,2025,,Skellefteå AIK - Brynäs IF
2025-12-30,Timrå IK,Leksands IF,,,2025-26,2025,,Timrå IK - Leksands IF
2025-12-30,Växjö Lakers HC,Rögle BK,,,2025-26,2025,,Växjö Lakers HC - Rögle BK
2026-01-03,Färjestad BK,Skellefteå AIK,,,2025-26,2025,,Färjestad BK - Skellefteå AIK
2026-01-03,Leksands IF,HV 71,,,2025-26,2025,,Leksands IF - HV 71
2026-01-03,Örebro HK,Rögle BK,,,2025-26,2025,,Örebro HK - Rögle BK
