Date,HomeTeam,AwayTeam,FTHG,FTAG
2017-04-17,Goteborg,AFC Eskilstuna,1,1
2017-04-17,Norrkoping,Sirius,0,2
2017-04-20,Elfsborg,Orebro,3,0
2017-04-22,Jonkopings,AIK,2,1
2017-04-23,Hacken,Norrkoping,1,2
2017-04-23,Hammarby,Sundsvall,0,0
2017-04-23,AFC Eskilstuna,Halmstad,0,0
2017-04-23,Ostersunds,Goteborg,1,1
2017-04-24,Malmo FF,Djurgarden,3,2
2017-04-24,Sirius,Kalmar,3,0
2017-04-26,AFC Eskilstuna,Ostersunds,1,3
2017-04-26,Goteborg,Hammarby,1,1
2017-04-26,Orebro,Hacken,0,0
2017-04-26,Sundsvall,Elfsborg,1,1
2017-04-27,AIK,Sirius,1,0
2017-04-27,Halmstad,Djurgarden,0,1
2017-04-27,Kalmar,Malmo FF,0,0
2017-04-27,Norrkoping,Jonkopings,3,0
2017-04-29,Hammarby,AFC Eskilstuna,4,0
2017-04-30,AIK,Sundsvall,0,0
2017-05-01,Kalmar,Halmstad,2,0
2017-05-01,Malmo FF,Orebro,2,1
2017-05-01,Djurgarden,Norrkoping,3,3
2017-05-01,Sirius,Jonkopings,1,1
2017-05-02,Elfsborg,Ostersunds,4,4
2017-05-02,Hacken,Goteborg,4,0
2017-05-05,Hacken,Sirius,2,2
2017-05-06,Halmstad,AIK,0,1
2017-05-07,Goteborg,Kalmar,3,0
2017-05-07,Ostersunds,Hammarby,2,1
2017-05-07,Jonkopings,AFC Eskilstuna,1,0
2017-05-07,Orebro,Djurgarden,0,4
2017-05-08,Elfsborg,Malmo FF,1,2
2017-05-08,Norrkoping,Sundsvall,0,0
2017-05-12,AFC Eskilstuna,Norrkoping,1,2
2017-05-13,AIK,Orebro,1,0
2017-05-13,Kalmar,Hacken,0,1
2017-05-14,Halmstad,Hammarby,1,2
2017-05-14,Sundsvall,Jonkopings,0,0
2017-05-14,Malmo FF,Ostersunds,2,1
2017-05-14,Sirius,Elfsborg,4,1
2017-05-15,Djurgarden,Goteborg,1,0
2017-05-16,Norrkoping,Kalmar,2,0
2017-05-17,Hacken,Halmstad,2,1
2017-05-17,Hammarby,Malmo FF,1,1
2017-05-17,Orebro,Sundsvall,0,2
2017-05-17,Ostersunds,Sirius,0,0
2017-05-18,Elfsborg,AFC Eskilstuna,2,1
2017-05-18,Jonkopings,Djurgarden,1,1
2017-05-20,Ostersunds,Kalmar,2,1
2017-05-20,Halmstad,Orebro,0,0
2017-05-21,AFC Eskilstuna,Hacken,0,0
2017-05-21,Sirius,Hammarby,1,1
2017-05-21,Malmo FF,Norrkoping,1,2
2017-05-22,Djurgarden,AIK,0,1
2017-05-22,Elfsborg,Jonkopings,3,0
2017-05-22,Sundsvall,Goteborg,0,4
2017-05-27,Djurgarden,AFC Eskilstuna,4,1
2017-05-27,Kalmar,Sundsvall,3,0
2017-05-27,Norrkoping,Halmstad,3,2
2017-05-28,Hammarby,Jonkopings,2,2
2017-05-28,Goteborg,Elfsborg,1,1
2017-05-29,AIK,Malmo FF,0,1
2017-05-29,Hacken,Ostersunds,0,1
2017-05-29,Orebro,Sirius,2,1
2017-06-01,Norrkoping,AIK,0,0
2017-06-02,Elfsborg,Hacken,2,0
2017-06-03,Kalmar,Orebro,0,1
2017-06-03,Ostersunds,Sundsvall,3,1
2017-06-03,Jonkopings,Malmo FF,1,2
2017-06-04,AFC Eskilstuna,AIK,1,3
2017-06-04,Hammarby,Djurgarden,3,1
2017-06-04,Norrkoping,Goteborg,2,0
2017-06-04,Sirius,Halmstad,2,1
2017-07-01,Malmo FF,AFC Eskilstuna,3,2
2017-07-01,Sundsvall,Sirius,1,2
2017-07-01,Halmstad,Elfsborg,1,1
2017-07-02,Jonkopings,Goteborg,0,2
